box,transect,x_start,y_start,x_end,y_end,zone_dsas,slope_est,ci_lower,ci_upper,ci_width,hits_lower_bound,hits_upper_bound,poorly_constrained
Kribi_Z1,1,598273.9636225058,366990.9715204921,597860.8376272657,366895.63475235977,Zone 1 / Lokoundje,0.085,0.0675,0.1125,0.045,False,False,False
Kribi_Z1,2,598359.8875883371,366847.9663682936,597962.6510544524,366657.29283202894,Zone 1 / Lokoundje,0.09,0.0675,0.1475,0.08,False,False,False
Kribi_Z1,3,598455.2243564695,366625.5139093182,598105.6562066509,366450.7298344089,Zone 1 / Lokoundje,0.13,0.0825,0.3075,0.225,False,False,False
Kribi_Z1,4,598566.4505859572,366482.5087571197,598153.3245907171,366275.9457594996,Zone 1 / Lokoundje,0.245,0.1275,0.5,0.3725,False,True,True
Kribi_Z1,5,598693.5662768002,366260.0562981442,598328.1086656264,366101.16168459033,Zone 1 / Lokoundje,0.15,0.105,0.275,0.17,False,False,False
Kribi_Z1,6,598773.0135835772,366085.2722232349,598534.6716632464,365958.1565323919,Zone 1 / Lokoundje,0.12,0.085,0.2125,0.1275,False,False,False
Kribi_Z1,7,598884.2398130649,365974.0459937472,598566.4505859572,365767.4829961272,Zone 1 / Lokoundje,0.105,0.075,0.2,0.125,False,False,False
Kribi_Z1,8,598963.6871198419,365799.261918838,598757.1241222218,365719.81461206096,Zone 1 / Lokoundje,0.1,0.07,0.1725,0.1025,False,False,False
Kribi_Z1,9,599074.9133493296,365640.367305284,598788.9030449326,365576.8094598625,Zone 1 / Lokoundje,0.14,0.08,0.5,0.42,False,True,True
Kribi_Z1,10,599217.9185015281,365497.36215308553,598868.3503517095,365433.804307664,Zone 1 / Lokoundje,0.14,0.075,0.5,0.425,False,True,True
Kribi_Z1,11,599376.813115082,365243.1307713993,599011.355503908,365179.57292597776,Zone 1 / Lokoundje,0.155,0.0775,0.5,0.4225,False,True,True
Kribi_Z1,12,599376.813115082,365163.6834646224,599027.2449652634,365116.0150805562,Zone 1 / Lokoundje,0.18,0.075,0.5,0.425,False,True,True
Kribi_Z1,13,599456.260421859,364941.2310056469,599074.9133493296,364877.6731602254,Zone 1 / Lokoundje,0.5,0.0875,0.5,0.4125,False,True,True
Kribi_Z1,14,599535.7077286359,364814.1153148038,599138.4711947512,364750.55746938224,Zone 1 / Lokoundje,0.5,0.08,0.5,0.42,False,True,True
Kribi_Z1,15,599646.9339581237,364607.55231718376,599170.2501174619,364559.8839331176,Zone 1 / Lokoundje,0.5,0.065,0.5,0.435,False,True,True
Kribi_Z1,16,599774.0496489668,364400.98931956367,599440.3709605036,364337.4314741421,Zone 1 / Lokoundje,0.43,0.0725,0.5,0.4275,False,True,True
Kribi_Z1,17,599932.9442625206,364226.2052446544,599567.4866513467,364114.9790151667,Zone 1 / Lokoundje,0.485,0.0725,0.5,0.4275,False,True,True
Kribi_Z1,18,599996.5021079422,363924.305478902,599631.0444967683,363892.5265561912,Zone 1 / Lokoundje,0.5,0.0825,0.5,0.4175,False,True,True
Kribi_Z1,19,600075.9494147191,363685.9635585712,599615.1550354129,363654.1846358604,Zone 1 / Lokoundje,0.5,0.12,0.5,0.38,False,True,True
Kribi_Z1,20,600139.5072601407,363431.73217688495,599678.7128808344,363415.8427155296,Zone 1 / Lokoundje,0.095,0.0425,0.5,0.4575,False,True,True
Kribi_Z1,21,600155.3967214961,363177.5007951987,599853.4969557436,363098.0534884218,Zone 1 / Lokoundje,0.035,0.035,0.0825,0.0475,True,False,True
Kribi_Z1,22,600203.0651055622,362891.4904908017,599869.386417099,362843.8221067356,Zone 1 / Lokoundje,0.035,0.035,0.0525,0.0175,True,False,True
Kribi_Z1,23,600155.3967214961,362510.1434182724,599551.5971899913,362430.6961114954,Zone 1 / Lokoundje,0.255,0.035,0.5,0.465,True,True,True
Kribi_Z1,24,600044.1704920083,362192.3541911646,599662.8234194791,362112.90688438766,Zone 1 / Lokoundje,0.5,0.0725,0.5,0.4275,False,True,True
Kribi_Z1,25,600155.3967214961,361969.9017321891,599742.270726256,361906.3438867676,Zone 1 / Lokoundje,0.08,0.04,0.5,0.46,False,True,True
Kribi_Z1,26,600298.4018736946,361747.4492732137,599837.6074943882,361731.5598118583,Zone 1 / Lokoundje,0.5,0.0775,0.5,0.4225,False,True,True
Kribi_Z1,27,600377.8491804715,361588.5546596598,599964.7231852314,361477.32843017206,Zone 1 / Lokoundje,0.5,0.0975,0.5,0.4025,False,True,True
