transect_id,group_id,TransOrder,azimuth_deg,shoreline_count,shoreline_change_envelope_m,net_shoreline_movement_m,endpoint_rate_myr,endpoint_rate_unc_myr,linear_regression_rate_myr,linear_regression_r2,linear_regression_ci95_myr,weighted_linear_regression_rate_myr,weighted_regression_r2,weighted_regression_ci95_myr
1,0,1,58.96,18,48.23,0.46,0.01,0.03,0.07,0.01,0.5,0.07,0.01,0.5
2,0,2,57.79,18,76.42,-35.5,-0.87,0.03,-0.99,0.43,0.6,-0.99,0.43,0.6
3,0,3,57.97,18,60.76,-25.94,-0.63,0.03,-0.57,0.26,0.51,-0.57,0.26,0.51
4,0,4,58.13,18,51.33,-22.97,-0.56,0.03,-0.47,0.25,0.43,-0.47,0.25,0.43
5,0,5,58.27,18,51.32,-21.39,-0.52,0.03,-0.37,0.16,0.44,-0.37,0.16,0.44
6,0,6,58.39,18,47.32,-20.85,-0.51,0.03,-0.39,0.13,0.52,-0.39,0.13,0.52
7,0,7,58.5,18,52.92,-8.81,-0.21,0.03,-0.17,0.03,0.57,-0.17,0.03,0.57
8,0,8,58.35,18,62.53,-4.9,-0.12,0.03,-0.08,0.0,0.61,-0.08,0.0,0.61
9,0,9,58.09,18,60.5,-6.29,-0.15,0.03,-0.08,0.01,0.54,-0.08,0.01,0.54
10,0,10,57.84,18,52.4,-5.72,-0.14,0.03,0.03,0.0,0.48,0.03,0.0,0.48
11,0,11,57.2,18,46.38,-14.52,-0.35,0.03,-0.1,0.01,0.53,-0.1,0.01,0.53
12,0,12,56.61,18,68.49,-2.56,-0.06,0.03,0.45,0.06,0.96,0.45,0.06,0.96
13,0,13,55.12,18,77.63,17.52,0.43,0.03,0.81,0.21,0.84,0.81,0.21,0.84
14,0,14,53.52,18,55.98,22.29,0.54,0.03,0.42,0.1,0.69,0.42,0.1,0.69
15,0,15,52.38,18,60.17,4.18,0.1,0.03,-0.21,0.04,0.59,-0.21,0.04,0.59
16,0,16,50.92,18,51.01,-1.12,-0.03,0.03,0.07,0.01,0.49,0.07,0.01,0.49
17,0,17,50.7,18,46.28,-12.86,-0.31,0.03,0.1,0.01,0.47,0.1,0.01,0.47
18,0,18,49.09,18,53.03,-10.78,-0.26,0.03,0.07,0.0,0.55,0.07,0.0,0.55
19,0,19,46.96,18,48.25,-15.39,-0.38,0.03,-0.09,0.01,0.48,-0.09,0.01,0.48
20,0,20,44.9,18,47.94,-22.96,-0.56,0.03,-0.19,0.04,0.51,-0.19,0.04,0.51
21,0,21,42.67,18,47.7,-10.52,-0.26,0.03,-0.06,0.0,0.49,-0.06,0.0,0.49
22,0,22,43.02,18,46.64,-2.09,-0.05,0.03,0.19,0.04,0.52,0.19,0.04,0.52
23,0,23,43.45,18,50.38,12.73,0.31,0.03,0.51,0.24,0.48,0.51,0.24,0.48
24,0,24,44.78,18,38.71,17.6,0.43,0.03,0.53,0.32,0.41,0.53,0.32,0.41
25,0,25,47.29,18,58.18,19.64,0.48,0.03,0.62,0.22,0.61,0.62,0.22,0.61
26,0,26,49.07,18,54.99,11.82,0.29,0.03,0.54,0.23,0.53,0.54,0.23,0.53
27,0,27,50.55,18,51.24,6.69,0.16,0.03,0.24,0.04,0.63,0.24,0.04,0.63
28,0,28,51.26,18,71.14,31.39,0.77,0.03,0.47,0.08,0.82,0.47,0.08,0.82
29,0,29,52.04,18,59.51,10.73,0.26,0.03,1.01,0.5,0.53,1.01,0.5,0.53
30,0,30,53.2,18,104.61,38.03,0.93,0.03,1.67,0.5,0.88,1.67,0.5,0.88
31,0,31,54.38,18,177.86,89.82,2.19,0.03,2.99,0.58,1.34,2.99,0.58,1.34
32,0,32,55.58,18,166.23,85.82,2.09,0.03,3.03,0.56,1.42,3.03,0.56,1.42
33,0,33,57.02,18,79.44,49.43,1.21,0.03,1.04,0.42,0.65,1.04,0.42,0.65
34,0,34,58.54,18,44.91,-0.51,-0.01,0.03,0.88,0.47,0.49,0.88,0.47,0.49
35,0,35,59.97,18,49.22,-1.22,-0.03,0.03,0.85,0.45,0.5,0.85,0.45,0.5
36,0,36,61.84,18,27.15,-2.46,-0.06,0.03,0.27,0.16,0.32,0.27,0.16,0.32
37,0,37,63.72,18,39.27,1.35,0.03,0.03,0.1,0.02,0.36,0.1,0.02,0.36
38,0,38,66.16,18,46.34,-10.06,-0.25,0.03,-0.18,0.04,0.49,-0.18,0.04,0.49
39,0,39,68.12,18,66.9,-30.17,-0.74,0.03,-0.68,0.21,0.7,-0.68,0.21,0.7
40,0,40,70.53,18,72.15,-52.33,-1.28,0.03,-0.84,0.29,0.7,-0.84,0.29,0.7
41,0,41,74.69,18,71.86,-61.48,-1.5,0.03,-0.73,0.22,0.72,-0.73,0.22,0.72
42,0,42,77.04,18,71.8,-69.77,-1.7,0.03,-0.7,0.16,0.85,-0.7,0.16,0.85
43,0,43,80.21,18,78.4,-76.38,-1.86,0.03,-1.47,0.6,0.63,-1.47,0.6,0.63
44,0,44,84.37,18,109.06,-100.12,-2.44,0.03,-2.44,0.88,0.49,-2.44,0.88,0.49
45,0,45,88.34,18,125.85,-123.4,-3.01,0.03,-2.98,0.95,0.37,-2.98,0.95,0.37
46,0,46,92.09,18,134.11,-130.88,-3.19,0.03,-3.11,0.94,0.43,-3.11,0.94,0.43
47,0,47,93.36,18,126.15,-120.03,-2.93,0.03,-2.97,0.91,0.49,-2.97,0.91,0.49
48,0,48,94.28,18,118.99,-107.35,-2.62,0.03,-2.75,0.87,0.56,-2.75,0.87,0.56
49,0,49,95.15,18,107.25,-97.12,-2.37,0.03,-2.47,0.85,0.56,-2.47,0.85,0.56
50,0,50,96.01,18,109.01,-98.35,-2.4,0.03,-2.51,0.86,0.53,-2.51,0.86,0.53
51,0,51,96.65,18,92.77,-79.75,-1.94,0.03,-2.38,0.91,0.4,-2.38,0.91,0.4
52,0,52,96.78,18,81.48,-77.81,-1.9,0.03,-1.59,0.7,0.55,-1.59,0.7,0.55
53,0,53,96.87,18,100.1,-95.9,-2.34,0.03,-1.93,0.64,0.77,-1.93,0.64,0.77
54,0,54,96.89,18,124.5,-113.02,-2.76,0.03,-2.68,0.69,0.94,-2.68,0.69,0.94
55,0,55,96.52,18,94.95,-67.35,-1.64,0.03,-1.47,0.46,0.85,-1.47,0.46,0.85
56,0,56,96.15,18,51.41,-34.14,-0.83,0.03,-0.93,0.48,0.51,-0.93,0.48,0.51
57,0,57,95.79,18,73.27,-16.17,-0.39,0.03,-0.63,0.19,0.7,-0.63,0.19,0.7
58,0,58,95.49,18,79.28,-17.72,-0.43,0.03,-0.5,0.1,0.81,-0.5,0.1,0.81
59,0,59,95.26,18,66.88,-30.67,-0.75,0.03,-0.98,0.33,0.74,-0.98,0.33,0.74
60,0,60,95.14,18,68.14,-60.19,-1.47,0.03,-1.39,0.73,0.44,-1.39,0.73,0.44
61,0,61,95.01,18,66.78,-66.54,-1.62,0.03,-1.23,0.73,0.39,-1.23,0.73,0.39
62,0,62,94.95,18,60.19,-60.19,-1.47,0.03,-0.63,0.33,0.47,-0.63,0.33,0.47
