Zone,Name,Lon,Lat
Zone 1,Lokoundje,9.9294428,3.2130265
Zone 1,Fifinda I,10.0262363,3.2291998
Zone 1,Fifinda II,10.0263364,3.2005955
Zone 2,Londji,9.9737199,3.0830722
Zone 2,Ngoye Plage,9.910439,2.9529234
Zone 2,Ngoy,9.9122161,2.9587271
Zone 2,Mpala,9.9555012,3.0110112
Zone 3,Mboro,9.8603261,2.7164205
Zone 3,Grand Batanga I,9.8877222,2.8567153
Zone 3,Grand Batanga II,9.885254,2.8452495
Zone 3,Lobe,9.8930388,2.881932
Zone 3,Eboundja I,9.8915886,2.7982943
Zone 4,Campo,9.8299258,2.3779586
Zone 4,Campo Beach,9.8248643,2.3513897
Zone 4,Ebodje,9.8252117,2.5649654
Zone 4,Lolabe,9.8561965,2.683952
Zone 4,Rio Campo,9.821506,2.34023
